,location,BHK,total_sqft,bath,balcony,price
0,1st Block Jayanagar,4,2850.0,4.0,1.0,428.0
1,1st Block Jayanagar,3,1630.0,3.0,2.0,194.0
2,1st Block Jayanagar,3,1875.0,2.0,3.0,235.0
3,1st Block Jayanagar,3,1200.0,2.0,0.0,130.0
4,1st Block Jayanagar,2,1235.0,2.0,2.0,148.0
5,1st Block Jayanagar,4,2750.0,4.0,0.0,413.0
6,1st Block Jayanagar,4,2450.0,4.0,2.0,368.0
8,1st Phase JP Nagar,3,1875.0,3.0,1.0,167.0
9,1st Phase JP Nagar,5,1500.0,5.0,1.0,85.0
10,1st Phase JP Nagar,3,2065.0,4.0,1.0,210.0
12,1st Phase JP Nagar,3,2059.0,3.0,2.0,225.0
13,1st Phase JP Nagar,2,1394.0,2.0,1.0,100.0
14,1st Phase JP Nagar,2,1077.0,2.0,2.0,93.0
15,1st Phase JP Nagar,2,1566.0,2.0,0.0,180.0
16,1st Phase JP Nagar,1,840.0,2.0,2.0,50.0
17,1st Phase JP Nagar,3,1590.0,3.0,3.0,131.0
18,1st Phase JP Nagar,3,2180.0,3.0,2.0,210.0
19,1st Phase JP Nagar,2,1180.0,2.0,2.0,88.5
20,1st Phase JP Nagar,2,1200.0,2.0,2.0,86.0
21,1st Phase JP Nagar,2,1394.0,2.0,2.0,85.0
22,1st Phase JP Nagar,3,2077.0,3.0,3.0,175.0
24,1st Phase JP Nagar,2,1205.0,2.0,1.0,85.0
26,1st Phase JP Nagar,2,900.0,2.0,1.0,75.0
27,2nd Phase Judicial Layout,3,1450.0,2.0,1.0,50.75
28,2nd Phase Judicial Layout,2,1150.0,2.0,1.0,40.25
29,2nd Phase Judicial Layout,3,1350.0,2.0,2.0,47.25
30,2nd Phase Judicial Layout,3,1350.0,2.0,2.0,47.25
31,2nd Phase Judicial Layout,2,900.0,2.0,2.0,41.0
32,2nd Phase Judicial Layout,3,1681.0,3.0,3.0,69.0
33,2nd Phase Judicial Layout,3,1350.0,2.0,2.0,47.25
34,2nd Phase Judicial Layout,2,1150.0,2.0,1.0,40.25
35,2nd Stage Nagarbhavi,4,1500.0,4.0,2.0,220.0
36,2nd Stage Nagarbhavi,6,3000.0,8.0,3.0,451.0
37,2nd Stage Nagarbhavi,6,2400.0,8.0,3.0,450.0
38,2nd Stage Nagarbhavi,4,1350.0,4.0,1.0,200.0
39,2nd Stage Nagarbhavi,4,1200.0,4.0,1.0,225.0
40,2nd Stage Nagarbhavi,4,1500.0,3.0,2.0,230.0
41,5th Block Hbr Layout,2,1206.0,2.0,2.0,56.0
42,5th Block Hbr Layout,3,1270.0,2.0,2.0,70.0
43,5th Block Hbr Layout,2,1312.0,2.0,3.0,69.0
44,5th Block Hbr Layout,2,1100.0,2.0,2.0,48.0
45,5th Block Hbr Layout,5,3600.0,5.0,3.0,130.0
46,5th Block Hbr Layout,6,5100.0,5.0,3.0,300.0
47,5th Phase JP Nagar,2,1075.0,2.0,2.0,60.0
48,5th Phase JP Nagar,2,1150.0,3.0,3.0,52.5
49,5th Phase JP Nagar,2,1256.0,2.0,1.0,62.8
50,5th Phase JP Nagar,2,1207.0,2.0,2.0,63.0
51,5th Phase JP Nagar,3,1725.0,2.0,2.0,100.0
52,5th Phase JP Nagar,2,1440.0,2.0,2.0,60.0
53,5th Phase JP Nagar,3,1700.0,2.0,3.0,100.0
55,5th Phase JP Nagar,5,2500.0,5.0,3.0,110.0
56,5th Phase JP Nagar,1,600.0,1.0,1.0,30.0
